Year,Month,Day,Hour,Minute,Second,HYY_META.O3336
2018,01,14,10,30,00,32.122
2018,01,14,11,00,00,31.938
2018,01,14,11,30,00,31.414
2018,01,14,12,00,00,30.912
2018,01,14,12,30,00,30.358
2018,01,14,13,00,00,29.766
2018,01,14,13,30,00,29.378
2018,01,14,14,00,00,29.164
2018,01,14,14,30,00,28.69
2018,01,14,15,00,00,28.384
2018,01,14,15,30,00,27.972
2018,01,14,16,00,00,27.57
2018,01,14,16,30,00,27.318
2018,01,14,17,00,00,26.928
2018,01,14,17,30,00,26.128
2018,01,14,18,00,00,26.398
2018,01,14,18,30,00,26.292
2018,01,14,19,00,00,26.44
2018,01,14,19,30,00,26.454
2018,01,14,20,00,00,26.5
2018,01,14,20,30,00,26.608
2018,01,14,21,00,00,26.676
2018,01,14,21,30,00,26.754
2018,01,14,22,00,00,26.836
2018,01,14,22,30,00,26.452
2018,01,14,23,00,00,26.4
2018,01,14,23,30,00,26.738
2018,01,15,00,00,00,26.39
2018,01,15,00,30,00,27.732
2018,01,15,01,00,00,28.75
2018,01,15,01,30,00,29.1
2018,01,15,02,00,00,29.53
2018,01,15,02,30,00,29.234
2018,01,15,03,00,00,29.416
2018,01,15,03,30,00,29.936
2018,01,15,04,00,00,30.518
2018,01,15,04,30,00,30.094
2018,01,15,05,00,00,29.864
2018,01,15,05,30,00,29.704
2018,01,15,06,00,00,29.486
2018,01,15,06,30,00,29.336
2018,01,15,07,00,00,29.68
2018,01,15,07,30,00,29.622
2018,01,15,08,00,00,29.558
2018,01,15,08,30,00,29.042
2018,01,15,09,00,00,29.22
2018,01,15,09,30,00,29.702
2018,01,15,10,00,00,29.51
2018,01,15,10,30,00,29.708
2018,01,15,11,00,00,29.588
2018,01,15,11,30,00,29.396
2018,01,15,12,00,00,28.618
2018,01,15,12,30,00,27.91
2018,01,15,13,00,00,27.394
2018,01,15,13,30,00,26.926
2018,01,15,14,00,00,27.86
2018,01,15,14,30,00,NaN
2018,01,15,15,00,00,NaN
2018,01,15,15,30,00,NaN
2018,01,15,16,00,00,NaN
2018,01,15,16,30,00,NaN
2018,01,15,17,00,00,NaN
2018,01,15,17,30,00,NaN
2018,01,15,18,00,00,NaN
2018,01,15,18,30,00,NaN
2018,01,15,19,00,00,NaN
2018,01,15,19,30,00,NaN
2018,01,15,20,00,00,NaN
2018,01,15,20,30,00,NaN
2018,01,15,21,00,00,NaN
2018,01,15,21,30,00,NaN
2018,01,15,22,00,00,NaN
2018,01,15,22,30,00,NaN
2018,01,15,23,00,00,NaN
2018,01,15,23,30,00,NaN
2018,01,16,00,00,00,NaN
