Year,Month,Day,Hour,Minute,Second,HYY_META.WSU336
2022,01,11,02,30,00,1.09478
2022,01,11,03,00,00,1.10922
2022,01,11,03,30,00,0.96267
2022,01,11,04,00,00,1.15828
2022,01,11,04,30,00,1.30394
2022,01,11,05,00,00,1.66194
2022,01,11,05,30,00,1.24144
2022,01,11,06,00,00,0.96839
2022,01,11,06,30,00,1.06522
2022,01,11,07,00,00,0.93956
2022,01,11,07,30,00,1.13072
2022,01,11,08,00,00,0.85356
2022,01,11,08,30,00,0.96472
2022,01,11,09,00,00,0.92633
2022,01,11,09,30,00,1.16394
2022,01,11,10,00,00,0.95494
2022,01,11,10,30,00,0.97111
2022,01,11,11,00,00,1.27944
2022,01,11,11,30,00,1.157
2022,01,11,12,00,00,1.72606
2022,01,11,12,30,00,1.3725
2022,01,11,13,00,00,1.20089
2022,01,11,13,30,00,1.40056
2022,01,11,14,00,00,1.38489
2022,01,11,14,30,00,1.28689
2022,01,11,15,00,00,1.50911
2022,01,11,15,30,00,1.85017
2022,01,11,16,00,00,1.52628
2022,01,11,16,30,00,1.71917
2022,01,11,17,00,00,2.05178
2022,01,11,17,30,00,1.73806
2022,01,11,18,00,00,1.77839
2022,01,11,18,30,00,2.08806
2022,01,11,19,00,00,2.45167
2022,01,11,19,30,00,2.70728
2022,01,11,20,00,00,2.93311
2022,01,11,20,30,00,2.96739
2022,01,11,21,00,00,2.80944
2022,01,11,21,30,00,2.69106
2022,01,11,22,00,00,2.38178
2022,01,11,22,30,00,3.1475
2022,01,11,23,00,00,3.04017
2022,01,11,23,30,00,3.63594
2022,01,12,00,00,00,4.32339
2022,01,12,00,30,00,3.82078
2022,01,12,01,00,00,3.22289
2022,01,12,01,30,00,2.88128
2022,01,12,02,00,00,3.30956
2022,01,12,02,30,00,4.11939
2022,01,12,03,00,00,4.34367
2022,01,12,03,30,00,3.77222
2022,01,12,04,00,00,3.21289
2022,01,12,04,30,00,4.39061
2022,01,12,05,00,00,5.11483
2022,01,12,05,30,00,4.83683
2022,01,12,06,00,00,4.57267
2022,01,12,06,30,00,4.47872
2022,01,12,07,00,00,4.24028
2022,01,12,07,30,00,4.42956
2022,01,12,08,00,00,4.61828
2022,01,12,08,30,00,4.89356
2022,01,12,09,00,00,5.06278
2022,01,12,09,30,00,4.51394
2022,01,12,10,00,00,4.55394
2022,01,12,10,30,00,4.44833
2022,01,12,11,00,00,4.85444
2022,01,12,11,30,00,4.79372
2022,01,12,12,00,00,5.26356
2022,01,12,12,30,00,6.00861
2022,01,12,13,00,00,5.84611
2022,01,12,13,30,00,6.51539
2022,01,12,14,00,00,6.80189
2022,01,12,14,30,00,6.40028
2022,01,12,15,00,00,6.93117
2022,01,12,15,30,00,6.68656
2022,01,12,16,00,00,7.26489
2022,01,12,16,30,00,7.878
2022,01,12,17,00,00,6.34828
2022,01,12,17,30,00,7.77467
2022,01,12,18,00,00,7.27322
2022,01,12,18,30,00,6.48383
2022,01,12,19,00,00,7.015
2022,01,12,19,30,00,7.34356
2022,01,12,20,00,00,7.01178
2022,01,12,20,30,00,7.08372
2022,01,12,21,00,00,6.73528
2022,01,12,21,30,00,7.15978
2022,01,12,22,00,00,7.40383
2022,01,12,22,30,00,7.30689
2022,01,12,23,00,00,7.88122
2022,01,12,23,30,00,7.68039
2022,01,13,00,00,00,7.48617
2022,01,13,00,30,00,8.24156
2022,01,13,01,00,00,7.39688
2022,01,13,01,30,00,7.86967
2022,01,13,02,00,00,7.56139
2022,01,13,02,30,00,7.35806
2022,01,13,03,00,00,6.72706
2022,01,13,03,30,00,6.99622
2022,01,13,04,00,00,7.60372
2022,01,13,04,30,00,8.30322
2022,01,13,05,00,00,6.46433
2022,01,13,05,30,00,6.73778
2022,01,13,06,00,00,6.39489
2022,01,13,06,30,00,6.29678
2022,01,13,07,00,00,6.47933
2022,01,13,07,30,00,6.63294
2022,01,13,08,00,00,7.03617
2022,01,13,08,30,00,6.30528
2022,01,13,09,00,00,6.20161
2022,01,13,09,30,00,6.83261
2022,01,13,10,00,00,6.65522
2022,01,13,10,30,00,6.70672
2022,01,13,11,00,00,7.1555
2022,01,13,11,30,00,6.85783
2022,01,13,12,00,00,7.23344
2022,01,13,12,30,00,6.58833
2022,01,13,13,00,00,6.20533
2022,01,13,13,30,00,6.20511
2022,01,13,14,00,00,6.48489
2022,01,13,14,30,00,6.54894
2022,01,13,15,00,00,5.71583
2022,01,13,15,30,00,5.71628
2022,01,13,16,00,00,5.91872
2022,01,13,16,30,00,5.92644
2022,01,13,17,00,00,5.12289
2022,01,13,17,30,00,4.75656
2022,01,13,18,00,00,3.76517
2022,01,13,18,30,00,5.09661
2022,01,13,19,00,00,6.08006
2022,01,13,19,30,00,5.54306
2022,01,13,20,00,00,5.88933
2022,01,13,20,30,00,6.98939
2022,01,13,21,00,00,7.58572
2022,01,13,21,30,00,6.54261
2022,01,13,22,00,00,5.9205
2022,01,13,22,30,00,5.89883
2022,01,13,23,00,00,6.69206
2022,01,13,23,30,00,6.56628
2022,01,14,00,00,00,6.95483
2022,01,14,00,30,00,6.56694
2022,01,14,01,00,00,6.27469
2022,01,14,01,30,00,5.87356
2022,01,14,02,00,00,5.24867
2022,01,14,02,30,00,4.54883
2022,01,14,03,00,00,4.774
2022,01,14,03,30,00,5.17617
2022,01,14,04,00,00,4.31094
2022,01,14,04,30,00,4.55289
2022,01,14,05,00,00,4.94828
2022,01,14,05,30,00,5.53189
2022,01,14,06,00,00,5.27572
2022,01,14,06,30,00,5.14661
2022,01,14,07,00,00,6.05
2022,01,14,07,30,00,6.48178
2022,01,14,08,00,00,5.89017
2022,01,14,08,30,00,5.99706
2022,01,14,09,00,00,6.23489
2022,01,14,09,30,00,6.82906
2022,01,14,10,00,00,6.41294
2022,01,14,10,30,00,6.21
2022,01,14,11,00,00,5.87
2022,01,14,11,30,00,6.38444
2022,01,14,12,00,00,6.23206
2022,01,14,12,30,00,7.12483
2022,01,14,13,00,00,7.00006
2022,01,14,13,30,00,6.56839
2022,01,14,14,00,00,5.88478
2022,01,14,14,30,00,5.61278
2022,01,14,15,00,00,5.25233
2022,01,14,15,30,00,5.6
2022,01,14,16,00,00,5.603
