Year,Month,Day,Hour,Minute,Second,HYY_META.WDU336
2011,01,15,12,00,00,321.93333
2011,01,15,12,30,00,317.8
2011,01,15,13,00,00,334.03333
2011,01,15,13,30,00,333.8
2011,01,15,14,00,00,325.7
2011,01,15,14,30,00,328.03333
2011,01,15,15,00,00,330.86667
2011,01,15,15,30,00,341.4
2011,01,15,16,00,00,59.7
2011,01,15,16,30,00,31.86667
2011,01,15,17,00,00,17.06667
2011,01,15,17,30,00,37.43333
2011,01,15,18,00,00,44.83333
2011,01,15,18,30,00,34.93333
2011,01,15,19,00,00,57.36667
2011,01,15,19,30,00,66.86667
2011,01,15,20,00,00,70.3
2011,01,15,20,30,00,77.46667
2011,01,15,21,00,00,95.1
2011,01,15,21,30,00,105.56667
2011,01,15,22,00,00,112.03333
2011,01,15,22,30,00,114.66667
2011,01,15,23,00,00,132.53333
2011,01,15,23,30,00,130.5
2011,01,16,00,00,00,137.9
2011,01,16,00,30,00,142.3
2011,01,16,01,00,00,143.65517
2011,01,16,01,30,00,139.06667
2011,01,16,02,00,00,138.96667
2011,01,16,02,30,00,143.03333
2011,01,16,03,00,00,158.5
2011,01,16,03,30,00,159.68421
2011,01,16,04,00,00,151.41667
2011,01,16,04,30,00,142.36667
2011,01,16,05,00,00,149.14815
2011,01,16,05,30,00,148.66667
2011,01,16,06,00,00,128.8
2011,01,16,06,30,00,146.41379
2011,01,16,07,00,00,143.43333
2011,01,16,07,30,00,144.82759
2011,01,16,08,00,00,134.16667
2011,01,16,08,30,00,136.6
2011,01,16,09,00,00,141.2
2011,01,16,09,30,00,142.3
2011,01,16,10,00,00,134.68966
2011,01,16,10,30,00,138.86667
2011,01,16,11,00,00,138
2011,01,16,11,30,00,140.10714
2011,01,16,12,00,00,141.9
2011,01,16,12,30,00,137.06667
2011,01,16,13,00,00,139.13333
2011,01,16,13,30,00,141.13333
2011,01,16,14,00,00,142.4
2011,01,16,14,30,00,141.34483
2011,01,16,15,00,00,143.39286
2011,01,16,15,30,00,140.1
2011,01,16,16,00,00,138.83333
2011,01,16,16,30,00,139.1
2011,01,16,17,00,00,138.56667
2011,01,16,17,30,00,139.93333
2011,01,16,18,00,00,140.1
2011,01,16,18,30,00,137.76667
2011,01,16,19,00,00,138
2011,01,16,19,30,00,136.86667
2011,01,16,20,00,00,134.96667
2011,01,16,20,30,00,138.82759
2011,01,16,21,00,00,140.53333
2011,01,16,21,30,00,140.93333
2011,01,16,22,00,00,142.36667
2011,01,16,22,30,00,141.53333
2011,01,16,23,00,00,142.46667
2011,01,16,23,30,00,146.16667
2011,01,17,00,00,00,143.93333
2011,01,17,00,30,00,149.5
2011,01,17,01,00,00,152.28571
2011,01,17,01,30,00,149.21429
2011,01,17,02,00,00,149.03333
2011,01,17,02,30,00,152.72414
2011,01,17,03,00,00,155.59259
2011,01,17,03,30,00,152.73333
2011,01,17,04,00,00,152.14286
2011,01,17,04,30,00,148.96552
2011,01,17,05,00,00,143.85714
2011,01,17,05,30,00,147.48148
2011,01,17,06,00,00,145.31034
2011,01,17,06,30,00,147.92593
2011,01,17,07,00,00,143.93333
2011,01,17,07,30,00,144.53333
2011,01,17,08,00,00,143.33333
2011,01,17,08,30,00,141.68966
